fecha,expediente,razon_social,area_m2,numero_pisos,nivel_riesgo,vigencia,giro_alquiler,giro_bar,giro_botica,giro_cafeteria,giro_comercio,giro_deportivo,giro_distribuidora,giro_educacion,giro_elaboracion,giro_evento,giro_farmacia,giro_ferreteria,giro_gimnasio,giro_hospedaje,giro_hotel,giro_industrial,giro_licoreria,giro_mineria,giro_panaderia,giro_poligono,giro_quimicos,giro_restaurante,giro_salud,giro_servicios,giro_transporte,horario_atencion_24 horas,horario_atencion_horario especial,horario_atencion_mañana,horario_atencion_noche,horario_atencion_tarde,nivel_riesgo_encoded
23/02/2023,002609-2023-01,HOSPEDAJE LAS LOMAS,44,1,medio,07/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
23/02/2023,002616-2023-01,BIG BEN,85,2,alto,27/04/2025,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
23/02/2023,002636-2023-01,BRILLASOL,27,1,medio,03/03/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
23/02/2023,002643-2023-01,HALCON S.A.,99,2,muy alto,09/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
27/02/2023,002801-2023-01,FASMU SAC,79,2,muy alto,09/03/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
27/02/2023,002826-2023-01,PARQUE ETERNO,85,1,muy alto,07/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2
01/03/2023,002974-2023-01,MOLINO LA MERCED,1100,2,muy alto,20/03/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
03/03/2023,003092-2023-01,CORPORACION LAM PERU SAC,24,1,medio,21/03/2023,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
06/03/2023,001722-2023-01,INVERSIONES ISABEL LUBRA EIRL,950,2,muy alto,22/03/2023,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
06/03/2023,003249-2023-01,MISTER CEVICHE,53,1,medio,21/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
08/03/2023,003438-2023-01,RESTAURANTE LA FUENTE,36,1,medio,15/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
08/03/2023,003458-2023-01,MOLINO ANDERSON,1200,2,muy alto,20/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
08/03/2023,003513-2023-01,AMBITAR,126,2,muy alto,14/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
09/03/2023,003519-2023-01,HOSTAL HUANCHACO,40,1,medio,15/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
14/03/2023,001945-2023-01,I.E.P. MATEMATICO LOBACHEVSKY,100,2,alto,28/03/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
16/03/2023,003832-2023-01,CANTERA SANTA VIRGINIA,55,1,muy alto,31/03/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
16/03/2023,003871-2023-01,BODEGA R y G,18,1,medio,01/04/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/03/2023,004010-2023-01,ARGOLINI,32,1,medio,27/03/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
21/03/2023,002122-2023-01,TRANSPORTE GUZMAN,151,2,muy alto,10/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,2
21/03/2023,004132-2023-01,INKAFARMA,24,1,medio,27/03/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
20/03/2023,004270-2023-01,I.E.P. MARIA REICHE E.I.R.L.,68,2,alto,10/04/2025,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
27/03/2023,002949-2023-01,VILLA MARINA,148,3,muy alto,06/06/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
27/03/2023,004430-2023-01,THE GODFATHER,20,1,medio,29/12/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
29/03/2023,004555-2023-01,MARKET DBR,25,1,medio,14/04/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
30/03/2023,004717-2023-01,CORPORACION MINERA LEO SAC,102,1,muy alto,14/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
31/03/2023,002919-2023-01,MINA EXPORT  SAC,119,1,muy alto,05/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
05/04/2023,005137-2023-01,PET SHOP PERU SERVICIOS CANINOS SAC,19,1,medio,21/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
12/04/2023,005479-2023-01,RESTAURANTE LA PERLA AZUL,21,1,medio,27/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
12/04/2023,005507-2023-01,MINIMARKT COESTI S.A.,73,1,medio,19/04/2025,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
13/04/2023,003859-2023-01,CORPORACION MINERA LEO SAC,87,2,muy alto,27/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
14/04/2023,005592-2023-01,VILLA GABUKO,107,2,muy alto,24/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2
14/04/2023,005647-2023-01,HOSPEDAJE WASY E.I.R.L.,71,1,medio,24/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
17/04/2023,005691-2023-01,HOTEL LAS PALMERAS,83,2,alto,24/04/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
18/04/2023,005769-2023-01,GRUPO AY & RO S.A.C.,111,2,muy alto,16/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2
19/04/2023,005917-2023-01,REST. EL TRAMBOYO,20,1,medio,02/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
20/04/2023,004587-2023-01,JETHANDLING PERU,45,1,medio,23/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1
21/04/2023,006072-2023-01,REST. EL ANZUELO,20,1,medio,02/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
25/04/2023,006288-2023-014,LAS LOMAS FITNESS GYM,48,1,medio,16/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
04/05/2023,004598-2023-01,TRANSPORTE Y FERRETERIA LA FUENTE FBR SAC,138,2,muy alto,23/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2
08/05/2023,007034-2023-01,REST. SABORES DE MI TIERRA,24,1,medio,23/05/2025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1
